dataset,method,repeat,n,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
nhanes_dm,EBM,5,13731,0.8320115545043031,0.48037331869338457,0.1034667583904207,0.007023389159753963,0.3335883389784435,-0.022735523150049036,0.9795497952708219
nhanes_dm,EBM,6,13731,0.8347008926373327,0.49120816789563243,0.10262319576947594,0.008128637258053278,0.33073899679367585,-0.040005114535809724,0.9856201913034385
nhanes_dm,EBM,7,13731,0.8313915098260767,0.48072122052704575,0.10330135270737047,0.004790256407475804,0.33336156918855203,-0.0340742497390758,0.9755429445345307
nhanes_dm,EBM,8,13731,0.8352073553776611,0.48119057461761056,0.10258418305676585,0.010431032408953754,0.3311900780201103,-0.031644845212418934,0.9975702214636907
nhanes_dm,EBM,9,13731,0.8337818660880941,0.4899899179029238,0.10304307009472774,0.01060994610828929,0.3320196909042307,0.01342822317148529,0.994702797255837
nhanes_dm,EBRO-MH,0,13731,0.7329137116179374,0.3765638548247244,0.12049582224812767,0.015669186470303895,0.39074581283514453,0.08213696680283641,1.0656719258166645
nhanes_dm,EBRO-MH,1,13731,0.7623035975660053,0.40478615071283097,0.11682608444429107,0.02229142654322788,0.3779608108392498,0.012082171167284663,1.0155484770809118
nhanes_dm,EBRO-MH,2,13731,0.7353057464307615,0.3958109559613319,0.11866422582861148,0.008675490691382808,0.3868744615594601,-0.0032761771766570648,0.9996076255210258
nhanes_dm,EBRO-MH,3,13731,0.7316744215713922,0.3855795322393074,0.11892114330865826,0.006767150662852945,0.3883480729129337,0.07047282420650035,1.0511755570301446
nhanes_dm,EBRO-MH,4,13731,0.7308833045901489,0.39264592440215995,0.11955724464368629,0.015027387891081616,0.38984918934721496,0.17324137591931418,1.1205412715756164
nhanes_dm,EBRO-MH,5,13731,0.7302938734813911,0.3864415721445529,0.12064415616342881,0.01664014122535249,0.39199632505456383,-0.09371334703337343,0.9409296200225012
nhanes_dm,EBRO-MH,6,13731,0.7446965587790125,0.3956043956043956,0.1188068314408672,0.01733072860608562,0.38516073334370016,0.02362756504325245,1.0248247301483482
nhanes_dm,EBRO-MH,7,13731,0.7201646986058117,0.38395342951151606,0.12087843338028906,0.015328984188677789,0.394225641297725,-0.06504574915366237,0.9558010488831407
nhanes_dm,EBRO-MH,8,13731,0.7203829102106406,0.3750456037942357,0.12079920935999765,0.014935009686017752,0.39351402742460684,-0.02371192166641012,0.9924950037419535
nhanes_dm,EBRO-MH,9,13731,0.7364509177356636,0.403717688062736,0.11838072083307478,0.009572884940873468,0.3865121853332575,0.05906371008202728,1.0320279257200269
nhanes_dm,LR,0,13731,0.8134713413827038,0.4585613239023088,0.10778779614630847,0.012638791110222836,0.34809477644836073,0.02959290606918425,1.0455674933929218
nhanes_dm,LR,1,13731,0.81256432446483,0.4650425255874297,0.10836806569087747,0.013777193666241387,0.349336319561978,0.04713949163734188,1.0318180564505632
nhanes_dm,LR,2,13731,0.8124156728047274,0.4606093141860153,0.10809465625102176,0.011538043838314894,0.34871456537230555,-0.004430248220837548,1.000344762859115
nhanes_dm,LR,3,13731,0.8119268548306133,0.46890367370552505,0.10830981822012156,0.013281488115734916,0.3494415343412218,0.00024121530273970865,1.0000891974194994
nhanes_dm,LR,4,13731,0.8117272471638886,0.46498293515358363,0.10833286389379385,0.012063516762244809,0.34994775671142825,0.09138516052795947,1.0782052281412713
