dataset,repeat,fold,iteration,validation_auc,validation_nll,ess_before_resampling,resampled,mh_proposals,mh_acceptances,acceptance_rate,unique_rule_count
nhanes_dm,3,2,10,0.7620590352771779,0.4676498561828823,19.25153278037348,0,0,0,,20
nhanes_dm,3,2,11,0.7621229683864673,0.4661647251318935,19.2630442229546,0,0,0,,20
nhanes_dm,3,2,12,0.7620228991719273,0.4657274554646793,19.26859708289688,0,0,0,,20
nhanes_dm,3,3,1,0.736220330172814,0.5938764008104609,18.886073459714478,0,0,0,,20
nhanes_dm,3,3,2,0.7361091421566583,0.5946743305517604,18.854951490791905,0,0,0,,20
nhanes_dm,3,3,3,0.735736662302537,0.5964148968189438,18.79919679409008,0,0,0,,20
nhanes_dm,3,3,4,0.735764459306576,0.5962358308984003,18.793392828993237,0,0,0,,20
nhanes_dm,3,4,1,0.7017498891598315,0.4337418674783558,19.183848504486413,0,0,0,,20
nhanes_dm,3,4,2,0.7024204721791176,0.4332306672618591,19.204659911902404,0,0,0,,20
nhanes_dm,3,4,3,0.7009296719131013,0.4331836796417329,19.21739030625515,0,0,0,,20
nhanes_dm,3,4,4,0.7012954444690757,0.4327923297460772,19.22856705914186,0,0,0,,20
nhanes_dm,3,5,1,0.7698958102416316,0.4450812671801296,19.356363487370366,0,0,0,,20
nhanes_dm,3,5,2,0.7703003768565728,0.4434861103268254,19.362906655457337,0,0,0,,20
nhanes_dm,3,5,3,0.7704223010418976,0.4430888102404914,19.35607380457552,0,0,0,,20
nhanes_dm,3,5,4,0.7709321658168922,0.4421435464647119,19.3392384940382,0,0,0,,20
nhanes_dm,3,5,5,0.7717219020172912,0.4412150932586495,19.356945041691507,0,0,0,,20
nhanes_dm,3,5,6,0.7729134338284196,0.4394741936535496,19.34763399515601,0,0,0,,20
nhanes_dm,3,5,7,0.7739109953447131,0.4392920308626405,19.340688808227483,0,0,0,,20
nhanes_dm,3,5,8,0.774024606517402,0.4392868227062262,19.346190812667405,0,0,0,,20
nhanes_dm,3,5,9,0.7739913544668587,0.4387078729847882,19.324506634852103,0,0,0,,20
nhanes_dm,3,5,10,0.7752050543116825,0.4378909139682048,19.30750613729998,0,0,0,,20
nhanes_dm,3,5,11,0.7751219241853248,0.4368032483658828,19.27445953034722,0,0,0,,20
nhanes_dm,3,5,12,0.775980935491022,0.4347087417266013,19.268574922490235,0,0,0,,20
nhanes_dm,3,5,13,0.7765351363334073,0.4335435720501351,19.23023552866827,0,0,0,,20
nhanes_dm,3,5,14,0.7763938151185991,0.4326345471530965,19.211955938749764,0,0,0,,20
nhanes_dm,3,5,15,0.7772195743737531,0.4318648823837376,19.15633906246681,0,0,0,,20
nhanes_dm,4,1,1,0.7229833968494874,0.4885635230455438,19.249582122044888,0,0,0,,20
nhanes_dm,4,1,2,0.722488610177595,0.4876060509128189,19.277366504096424,0,0,0,,20
nhanes_dm,4,1,3,0.7233975722096673,0.4847867493646022,19.344889143154013,0,0,0,,20
nhanes_dm,4,1,4,0.7236143888411707,0.4844705388080297,19.3425186636505,0,0,0,,20
nhanes_dm,4,2,1,0.7769901959966754,0.4691972428716356,19.204378533333788,0,0,0,,20
nhanes_dm,4,2,2,0.7767872778671914,0.4693446650472294,19.210147067079756,0,0,0,,20
nhanes_dm,4,2,3,0.7770346712031377,0.4682185493405193,19.232363160670037,0,0,0,,20
nhanes_dm,4,2,4,0.7774488465633174,0.4648818937650961,19.2857522865752,0,0,0,,20
nhanes_dm,4,3,1,0.7337144302587068,0.4272480209643862,19.02028266643057,0,0,0,,20
nhanes_dm,4,3,2,0.7337505663639574,0.4268609329714974,19.033097086678254,0,0,0,,20
nhanes_dm,4,3,3,0.7337172099591106,0.426785037200541,19.022176410038742,0,0,0,,20
nhanes_dm,4,3,4,0.7336977520562834,0.4269825298643906,19.01463281664088,0,0,0,,20
nhanes_dm,4,4,1,0.7061197628020396,0.4672002344354143,19.05799146373996,0,0,0,,20
nhanes_dm,4,4,2,0.7056957991576147,0.4666580808898377,19.07083061623788,0,0,0,,20
nhanes_dm,4,4,3,0.7058398913766348,0.4664935505682885,19.085403223805766,0,0,0,,20
nhanes_dm,4,4,4,0.7072420195078696,0.4657358024728811,19.130403614218395,0,0,0,,20
nhanes_dm,4,4,5,0.708173076923077,0.4651599668912775,19.164394901507848,0,0,0,,20
nhanes_dm,4,4,6,0.7084141542895145,0.4650241294971028,19.19605962935634,0,0,0,,20
nhanes_dm,4,4,7,0.7089517291066284,0.4645390214163528,19.203484199429244,0,0,0,,20
nhanes_dm,4,4,8,0.7097331522943915,0.4643277647982079,19.226490386004983,0,0,0,,20
nhanes_dm,4,4,9,0.709187264464642,0.4646702132135868,19.233666081727574,0,0,0,,20
