variant,repeat,fold,training_time_seconds,rule_count,average_condition_length,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
Uniform prior,5,4,1.9086961399998472,20,1.75,0.7097168203207529,0.3533527696793003,0.1211052108393057,0.014701199513606412,0.39622500505001296,0.2917656012941596,1.196344640732372
Without MH rejuvenation,5,4,3.6154167300001063,20,1.8,0.6984898684336887,0.34700665188470065,0.12307059989321051,0.010413835511259111,0.4020233795995648,0.06700085686852464,1.063605456706048
Single best rule,5,4,7.658307566000076,20,1.8,0.578218532923589,0.3045078196872125,0.13075046546259342,0.0006554506566130158,0.42794685867804166,0.290860632253505,1.1733675863048068
Full EBRO-MH,5,5,4.425910081000438,20,1.7,0.7575086430423509,0.40714285714285714,0.11727579747187639,0.013860466999458762,0.37942356092099455,0.0012734583836862459,1.0047726371315366
Uniform prior,5,5,1.6057779189995927,20,1.8,0.7573060717372515,0.4098671726755218,0.11631821852663549,0.023716183106033212,0.38029332329609233,0.10180276565970896,1.0784103228545552
Without MH rejuvenation,5,5,3.199014365000039,20,1.7,0.7575086430423509,0.40714285714285714,0.11727579747187639,0.013860466999458762,0.37942356092099455,0.0012734583836862459,1.0047726371315366
Single best rule,5,5,3.091754349999974,20,1.7,0.6905590767950318,0.392719249862107,0.12258684249531619,0.015071671813981018,0.39560097673870803,-0.2643679161144232,0.8053033112793346
Full EBRO-MH,6,1,3.131669557999885,20,1.7,0.7345582966220277,0.3905044510385757,0.1198740688198044,0.016835773936838935,0.3910854425204799,0.37667400703730997,1.2695730803314105
Uniform prior,6,1,1.6224151710002843,20,1.85,0.7142691040179169,0.38258575197889183,0.12196609510200299,0.018315374598508093,0.39863413941968917,0.24229282968551225,1.1651029651785174
Without MH rejuvenation,6,1,3.080009643000267,20,1.7,0.7345582966220277,0.3905044510385757,0.1198740688198044,0.016835773936838935,0.3910854425204799,0.37667400703730997,1.2695730803314105
Single best rule,6,1,2.926994086999912,20,1.7,0.5636106958148114,0.26959247648902823,0.131258963754657,0.014250610137399668,0.4303936034210069,1.0777406376294567,1.6502575068905407
Full EBRO-MH,6,2,2.904517314000259,20,1.75,0.7421257896675981,0.40087783467446964,0.12008250992550773,0.024611568229190844,0.3878469282556878,-0.09681015974919747,0.9019545039640149
Uniform prior,6,2,1.5630096820004837,20,1.85,0.7554519140234581,0.4090909090909091,0.11748579642238643,0.017202501329434423,0.38162918914978944,-0.12988797465203636,0.8870697820185554
Without MH rejuvenation,6,2,2.9204474360003587,20,1.75,0.7421257896675981,0.40087783467446964,0.12008250992550773,0.024611568229190844,0.3878469282556878,-0.09681015974919747,0.9019545039640149
Single best rule,6,2,2.9117928209998354,20,1.75,0.69090410761945,0.4175665946724262,0.12153883378490732,0.004232560703650713,0.3953088313212289,0.09131432433556977,1.0373970499261358
Full EBRO-MH,6,3,2.878091518000474,20,1.85,0.7413135316101681,0.39775561097256856,0.120587349609837,0.016800591895812348,0.3882949635063563,-0.16910164646598017,0.8899808258440486
Uniform prior,6,3,1.734790286000134,20,1.7,0.7297986378826773,0.4026936026936027,0.12310917657774802,0.02357223971553845,0.39711024089724406,-0.19678886094335551,0.8553011044630726
Without MH rejuvenation,6,3,2.971752349999406,20,1.85,0.7413135316101681,0.39775561097256856,0.120587349609837,0.016800591895812348,0.3882949635063563,-0.16910164646598017,0.8899808258440486
Single best rule,6,3,2.933494043999417,20,1.85,0.5448644023288391,0.28832255610498286,0.13202601040335507,0.007364678207717073,0.4327014305218907,-0.48948875588451274,0.7008606504078825
Full EBRO-MH,6,4,3.0796861469998476,20,1.8,0.7743780810845418,0.4202626641651032,0.11442230639781491,0.02357133317491636,0.37281965541935425,0.27636226733819896,1.2274144132056113
Uniform prior,6,4,1.6223979630003669,20,1.75,0.7771150444956625,0.4320809248554913,0.11383309839126082,0.016026886701035664,0.37066330808528253,0.1877140527104899,1.1429388608104476
Without MH rejuvenation,6,4,2.9307399899998927,20,1.8,0.7743780810845418,0.4202626641651032,0.11442230639781491,0.02357133317491636,0.37281965541935425,0.27636226733819896,1.2274144132056113
Single best rule,6,4,2.9246820070002286,20,1.8,0.6938922500720255,0.3949533735600658,0.12200961805585027,0.0034652453824306605,0.3922079898122121,0.02571702008085042,1.03828546817379
Full EBRO-MH,6,5,4.0892447189999075,20,1.8,0.7429295111879382,0.37416020671834627,0.11906753379974096,0.022877865661133343,0.38575451943862643,-0.024683585637039727,1.0032985876909584
Uniform prior,6,5,17.557438097999693,20,1.85,0.7683704664041743,0.41153342070773263,0.11631247004167007,0.024800988528556177,0.3763232331989354,-0.08529218545751897,0.9828030429066676
Without MH rejuvenation,6,5,7.413612319000094,20,1.8,0.7429295111879382,0.37416020671834627,0.11906753379974096,0.022877865661133343,0.38575451943862643,-0.024683585637039727,1.0032985876909584
