dataset,variant,repeat,fold,training_time_seconds,rule_count,average_condition_length,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
nhanes_dm,Outcome-blind random,4,2,1.6221677800003818,20,1.9,0.6123297478155899,0.3065326633165829,0.13038871145225162,0.008709244071352706,0.42641359602788825,0.49131257057706373,1.3049210822095265
nhanes_dm,Quantile clinical,4,3,2.6655850839997584,20,1.75,0.7338559342764912,0.37840616966580976,0.12012952114974643,0.027966798876756967,0.39109250238062554,0.19406129211277018,1.1478812862139882
nhanes_dm,Outcome-blind random,4,3,1.6617948749999414,20,1.55,0.647748592402217,0.31922723091076355,0.12814832436590629,0.011403296894428903,0.41831411533664137,0.3545836101126391,1.2186148752217136
nhanes_dm,Quantile clinical,4,4,6.826612406000095,20,1.8,0.742950518582541,0.401920438957476,0.11893172840409712,0.022823920090847685,0.3875726505674559,0.43194507332097754,1.2738568169654723
nhanes_dm,Outcome-blind random,4,4,1.8831172809996133,20,1.75,0.5851149604660841,0.28454332552693207,0.1310522660705841,0.012830654321780722,0.4295406525762144,-0.35220636759244184,0.7829932498917492
nhanes_dm,Quantile clinical,4,5,3.030344333999892,20,1.8,0.703145007042479,0.3661417322834646,0.12318620649353508,0.01260148839259649,0.4002637249436514,-0.07964488039661258,0.9755120199077667
nhanes_dm,Outcome-blind random,4,5,1.7994517559991436,20,2.0,0.5251618569736547,0.19696969696969696,0.132461667582943,0.0013450882539681186,0.434867245342538,-0.4421370589030319,0.740810177705064
nhanes_dm,Quantile clinical,5,1,3.78581619400029,20,1.85,0.7286468947924173,0.40971168437025796,0.1202679371310421,0.020870066701669486,0.3920983917296703,-0.17998599444103655,0.8611675848522332
nhanes_dm,Outcome-blind random,5,1,1.810738814000615,20,1.6,0.5770947401198847,0.29451137884872824,0.131491663876017,0.010535924493885693,0.4311969809031195,1.356873056248914,1.8171891884978393
nhanes_dm,Quantile clinical,5,2,3.021397270000307,20,1.85,0.7494615732544939,0.4074534161490683,0.12034561175666429,0.03155068275965805,0.3887316954156293,-0.04249670386749959,0.9873753463157043
nhanes_dm,Outcome-blind random,5,2,3.6451731339993785,20,1.45,0.4743901574492601,0.1709706144256456,0.13317112285011876,7.512680279264661e-06,0.43715798140379186,-3.3035091483754817,-0.9689664985239088
nhanes_dm,Quantile clinical,5,3,6.608641136999722,20,1.9,0.7196811075865002,0.37103448275862067,0.12226097157055332,0.024417598452743175,0.3977045604377411,-0.22002186347032138,0.8518817422642769
nhanes_dm,Outcome-blind random,5,3,1.9886959229997956,20,1.6,0.6594427120932095,0.3335423197492163,0.12797259487469842,0.017526597630919436,0.416569998873926,-0.13611290799615108,0.8978003793604543
nhanes_dm,Quantile clinical,5,4,8.71252283100057,20,1.8,0.6984898684336887,0.34700665188470065,0.12307059989321051,0.010413835511259111,0.4020233795995648,0.06700085686852464,1.063605456706048
nhanes_dm,Outcome-blind random,5,4,2.9596704030000183,20,2.05,0.5015235362847722,0.06934306569343066,0.13256675474037355,0.00045968922909564447,0.4351854298307205,-0.4411303547013065,0.7389299422234346
nhanes_dm,Quantile clinical,5,5,3.948228078000284,20,1.7,0.7575086430423509,0.40714285714285714,0.11727579747187639,0.013860466999458762,0.37942356092099455,0.0012734583836862459,1.0047726371315366
nhanes_dm,Outcome-blind random,5,5,1.7606687040006364,20,1.85,0.5900777073529884,0.2942162615255658,0.13061046738922835,0.00375141788687433,0.427911256167413,0.3040583761507328,1.1804109278165014
nhanes_dm,Quantile clinical,6,1,3.0580772610001077,20,1.7,0.7345582966220277,0.3905044510385757,0.1198740688198044,0.016835773936838935,0.3910854425204799,0.37667400703730997,1.2695730803314105
