threshold,net_benefit,treat_all,analysis,method
0.14999999999999997,0.2615075881098708,0.25874827542957485,NHANES CKD cross-validation,LR
0.15999999999999998,0.25413747588587676,0.24992385013706975,NHANES CKD cross-validation,LR
0.16999999999999996,0.24749531173735456,0.24088678809052844,NHANES CKD cross-validation,LR
0.17999999999999997,0.24058713401632953,0.2316293098965105,NHANES CKD cross-validation,LR
0.18999999999999997,0.23436389481165604,0.22214325199399826,NHANES CKD cross-validation,LR
0.19999999999999996,0.22734541577825162,0.21242004264392325,NHANES CKD cross-validation,LR
0.20999999999999996,0.21673504088958467,0.20245067609511216,NHANES CKD cross-validation,LR
0.21999999999999995,0.20921491443879506,0.1922256847629982,NHANES CKD cross-validation,LR
0.22999999999999995,0.2030016891424141,0.18173510924043976,NHANES CKD cross-validation,LR
0.23999999999999996,0.19492761755134105,0.17096846594097187,NHANES CKD cross-validation,LR
0.24999999999999994,0.18763326226012794,0.15991471215351816,NHANES CKD cross-validation,LR
0.25999999999999995,0.18014176223131448,0.1485622082637008,NHANES CKD cross-validation,LR
0.26999999999999996,0.17241580745976579,0.13689867687005286,NHANES CKD cross-validation,LR
0.27999999999999997,0.1666074389954987,0.12491115849324805,NHANES CKD cross-validation,LR
0.29,0.15821045677047355,0.11258596354244871,NHANES CKD cross-validation,LR
0.3,0.15252817544928418,0.09990862016448365,NHANES CKD cross-validation,LR
0.31,0.14954729458298563,0.0868638175581718,NHANES CKD cross-validation,LR
0.31999999999999995,0.14260629624984325,0.07343534428696857,NHANES CKD cross-validation,LR
0.32999999999999996,0.1368583521624288,0.05960602106737106,NHANES CKD cross-validation,LR
0.33999999999999997,0.13473218323964598,0.04535762744717975,NHANES CKD cross-validation,LR
0.35,0.13289322617680824,0.030670821715597818,NHANES CKD cross-validation,LR
0.36,0.12783182302771856,0.015525053304904002,NHANES CKD cross-validation,LR
0.36999999999999994,0.12095136562087527,-0.00010153315057359613,NHANES CKD cross-validation,LR
0.37999999999999995,0.11866359447004612,-0.016232203040098925,NHANES CKD cross-validation,LR
0.38999999999999996,0.11526093187458494,-0.03289174735223177,NHANES CKD cross-validation,LR
0.39999999999999997,0.11194029850746272,-0.050106609808102276,NHANES CKD cross-validation,LR
0.41,0.10716996133135777,-0.06790502692349382,NHANES CKD cross-validation,LR
0.41999999999999993,0.10359532387324463,-0.08631718256010579,NHANES CKD cross-validation,LR
0.42999999999999994,0.09719260838663828,-0.10537537874537078,NHANES CKD cross-validation,LR
0.43999999999999995,0.09031373743527263,-0.12511422479439532,NHANES CKD cross-validation,LR
0.44999999999999996,0.08402791238612137,-0.14557084706338436,NHANES CKD cross-validation,LR
