dataset,method,repeat,fold,status,message
nhanes_ckd,EBM,7,1,succeeded,
nhanes_ckd,EBRO-MH,7,2,succeeded,
nhanes_ckd,LR,7,2,succeeded,
nhanes_ckd,Random Forest,7,2,succeeded,
nhanes_ckd,XGBoost,7,2,succeeded,
nhanes_ckd,RuleFit,7,2,succeeded,
nhanes_ckd,BRL,7,2,succeeded,
nhanes_ckd,EBM,7,2,succeeded,
nhanes_ckd,EBRO-MH,7,3,succeeded,
nhanes_ckd,LR,7,3,succeeded,
nhanes_ckd,Random Forest,7,3,succeeded,
nhanes_ckd,XGBoost,7,3,succeeded,
nhanes_ckd,RuleFit,7,3,succeeded,
nhanes_ckd,BRL,7,3,succeeded,
nhanes_ckd,EBM,7,3,succeeded,
nhanes_ckd,EBRO-MH,7,4,succeeded,
nhanes_ckd,LR,7,4,succeeded,
nhanes_ckd,Random Forest,7,4,succeeded,
nhanes_ckd,XGBoost,7,4,succeeded,
nhanes_ckd,RuleFit,7,4,succeeded,
nhanes_ckd,BRL,7,4,succeeded,
nhanes_ckd,EBM,7,4,succeeded,
nhanes_ckd,EBRO-MH,7,5,succeeded,
nhanes_ckd,LR,7,5,succeeded,
nhanes_ckd,Random Forest,7,5,succeeded,
nhanes_ckd,XGBoost,7,5,succeeded,
nhanes_ckd,RuleFit,7,5,succeeded,
nhanes_ckd,BRL,7,5,succeeded,
nhanes_ckd,EBM,7,5,succeeded,
nhanes_ckd,EBRO-MH,8,1,succeeded,
nhanes_ckd,LR,8,1,succeeded,
nhanes_ckd,Random Forest,8,1,succeeded,
nhanes_ckd,XGBoost,8,1,succeeded,
nhanes_ckd,RuleFit,8,1,succeeded,
nhanes_ckd,BRL,8,1,succeeded,
nhanes_ckd,EBM,8,1,succeeded,
nhanes_ckd,EBRO-MH,8,2,succeeded,
nhanes_ckd,LR,8,2,succeeded,
nhanes_ckd,Random Forest,8,2,succeeded,
nhanes_ckd,XGBoost,8,2,succeeded,
nhanes_ckd,RuleFit,8,2,succeeded,
nhanes_ckd,BRL,8,2,succeeded,
nhanes_ckd,EBM,8,2,succeeded,
nhanes_ckd,EBRO-MH,8,3,succeeded,
nhanes_ckd,LR,8,3,succeeded,
nhanes_ckd,Random Forest,8,3,succeeded,
nhanes_ckd,XGBoost,8,3,succeeded,
nhanes_ckd,RuleFit,8,3,succeeded,
nhanes_ckd,BRL,8,3,succeeded,
nhanes_ckd,EBM,8,3,succeeded,
nhanes_ckd,EBRO-MH,8,4,succeeded,
nhanes_ckd,LR,8,4,succeeded,
nhanes_ckd,Random Forest,8,4,succeeded,
nhanes_ckd,XGBoost,8,4,succeeded,
nhanes_ckd,RuleFit,8,4,succeeded,
nhanes_ckd,BRL,8,4,succeeded,
nhanes_ckd,EBM,8,4,succeeded,
nhanes_ckd,EBRO-MH,8,5,succeeded,
nhanes_ckd,LR,8,5,succeeded,
nhanes_ckd,Random Forest,8,5,succeeded,
nhanes_ckd,XGBoost,8,5,succeeded,
nhanes_ckd,RuleFit,8,5,succeeded,
nhanes_ckd,BRL,8,5,succeeded,
nhanes_ckd,EBM,8,5,succeeded,
nhanes_ckd,EBRO-MH,9,1,succeeded,
nhanes_ckd,LR,9,1,succeeded,
nhanes_ckd,Random Forest,9,1,succeeded,
nhanes_ckd,XGBoost,9,1,succeeded,
nhanes_ckd,RuleFit,9,1,succeeded,
nhanes_ckd,BRL,9,1,succeeded,
nhanes_ckd,EBM,9,1,succeeded,
nhanes_ckd,EBRO-MH,9,2,succeeded,
nhanes_ckd,LR,9,2,succeeded,
nhanes_ckd,Random Forest,9,2,succeeded,
nhanes_ckd,XGBoost,9,2,succeeded,
nhanes_ckd,RuleFit,9,2,succeeded,
nhanes_ckd,BRL,9,2,succeeded,
nhanes_ckd,EBM,9,2,succeeded,
nhanes_ckd,EBRO-MH,9,3,succeeded,
nhanes_ckd,LR,9,3,succeeded,
nhanes_ckd,Random Forest,9,3,succeeded,
nhanes_ckd,XGBoost,9,3,succeeded,
nhanes_ckd,RuleFit,9,3,succeeded,
nhanes_ckd,BRL,9,3,succeeded,
nhanes_ckd,EBM,9,3,succeeded,
nhanes_ckd,EBRO-MH,9,4,succeeded,
nhanes_ckd,LR,9,4,succeeded,
nhanes_ckd,Random Forest,9,4,succeeded,
nhanes_ckd,XGBoost,9,4,succeeded,
nhanes_ckd,RuleFit,9,4,succeeded,
nhanes_ckd,BRL,9,4,succeeded,
nhanes_ckd,EBM,9,4,succeeded,
nhanes_ckd,EBRO-MH,9,5,succeeded,
nhanes_ckd,LR,9,5,succeeded,
nhanes_ckd,Random Forest,9,5,succeeded,
nhanes_ckd,XGBoost,9,5,succeeded,
nhanes_ckd,RuleFit,9,5,succeeded,
nhanes_ckd,BRL,9,5,succeeded,
nhanes_ckd,EBM,9,5,succeeded,
